"season","week","team","SIC"
2022,14,"LAC",71.5
2022,14,"ARI",78.4
2022,15,"SEA",85.8
2022,15,"MIN",88.3
2022,15,"CLE",84.3
2022,15,"BUF",85.2
2022,15,"JAX",89.2
2022,15,"CHI",86.2
2022,15,"NO",84.1
2022,15,"NYJ",83.4
2022,15,"DEN",64.1
2022,15,"LV",85.8
2022,15,"TB",82.3
2022,15,"LAC",89.2
2022,15,"WAS",81.6
2022,15,"HOU",74.2
2022,15,"CAR",90.8
2022,15,"LA",69.5
2022,16,"NYJ",84.7
2022,16,"NE",87.3
2022,16,"TEN",63.6
2022,16,"BAL",77.8
2022,16,"CLE",82.4
2022,16,"KC",91.4
2022,16,"CHI",82.7
2022,16,"MIN",88.3
2022,16,"CAR",91.1
2022,16,"SF",84.5
2022,16,"DAL",85.3
2022,16,"MIA",80
2022,16,"LA",69.5
2022,16,"ARI",74.9
2022,16,"IND",84.9
2022,16,"PIT",90
2022,17,"TEN",53.4
2022,17,"NE",87.7
2022,17,"WAS",82
2022,17,"TB",83.1
2022,17,"NYG",80.8
2022,17,"KC",93
2022,17,"DET",85.5
2022,17,"HOU",83.1
2022,17,"PHI",86.7
2022,17,"ATL",87.9
2022,17,"LV",79.6
2022,17,"LAC",81
2022,17,"GB",85.1
2022,17,"SEA",89.2
2022,17,"BAL",78.3
2022,17,"CIN",88.2
2022,18,"JAX",89.2
2022,18,"LV",79.6
2022,18,"ATL",88.1
2022,18,"BUF",85.9
2022,18,"IND",79.6
2022,18,"CHI",78.6
2022,18,"MIA",77.8
2022,18,"PIT",90.6
2022,18,"NO",85.4
2022,18,"CIN",90.1
2022,18,"PHI",87.3
2022,18,"SF",87.6
2022,18,"WAS",74.4
2022,18,"DEN",68
2022,18,"SEA",89.5
2022,18,"GB",86.3
2022,19,"SF",90.4
2022,19,"JAX",90.2
2022,19,"BUF",87.6
2022,19,"MIN",90.2
2022,19,"CIN",87.4
2022,19,"TB",87.4
2022,20,"KC",92.6
2022,20,"PHI",91.1
2022,20,"BUF",87.2
2022,20,"SF",90.8
2022,21,"PHI",91.5
2022,21,"KC",91.7
2022,22,"PHI",91.8
2021,1,"TB",91.8
2021,1,"HOU",84.7
2021,1,"WAS",91.2
2021,1,"IND",75
2021,1,"CAR",89.6
2021,1,"CIN",85.2
2021,1,"TEN",90.2
2021,1,"DET",88
2021,1,"BUF",89.4
2021,1,"ATL",92.1
2021,1,"KC",87.7
2021,1,"NO",87.7
2021,1,"NYG",86.4
2021,1,"NE",90.8
2021,1,"LA",85.4
2021,1,"LV",88.3
2021,2,"WAS",84.7
2021,2,"PIT",88.7
2021,2,"CHI",78.6
2021,2,"CLE",85.8
2021,2,"IND",75.2
2021,2,"MIA",87.4
2021,2,"NYJ",68.7
2021,2,"PHI",89
2021,2,"CAR",93
2021,2,"JAX",88.3
2021,2,"ARI",92.9
2021,2,"TB",90.7
2021,2,"LAC",87.8
2021,2,"SEA",87.4
2021,2,"BAL",69.1
2021,2,"GB",88.5
2021,3,"HOU",75.3
2021,3,"TEN",88.1
2021,3,"NYG",83.8
2021,3,"KC",85.5
2021,3,"PIT",77.6
2021,3,"CLE",86.6
2021,3,"DET",85.3
2021,3,"NE",90.4
2021,3,"JAX",86.5
2021,3,"BUF",91.4
2021,3,"DEN",86.1
2021,3,"LV",85.9
2021,3,"MIN",85.5
2021,3,"LA",90.1
2021,3,"SF",71.4
2021,3,"DAL",77.6
2021,4,"CIN",84.6
2021,4,"ATL",92
2021,4,"CHI",80.3
2021,4,"NYJ",73.9
2021,4,"MIN",86.8
2021,4,"MIA",84.4
2021,4,"DAL",78.6
2021,4,"NO",86.1
2021,4,"PHI",77.6
2021,4,"BUF",88.9
2021,4,"LA",91.7
2021,4,"SF",73.7
2021,4,"DEN",82.4
2021,4,"GB",87.4
2021,4,"NE",86.8
2021,4,"LAC",87.9
2021,5,"SEA",85.7
2021,5,"ATL",83.9
2021,5,"CAR",75.6
2021,5,"TB",86.7
2021,5,"WAS",77.1
2021,5,"JAX",84.7
2021,5,"MIN",88.6
2021,5,"PIT",84.2
2021,5,"CIN",81
2021,5,"HOU",77.6
2021,5,"LV",83.3
2021,5,"LAC",89.6
2021,5,"DAL",82.1
2021,5,"ARI",89.8
2021,5,"KC",91.2
2021,5,"BAL",80.1
2021,6,"PHI",79.9
2021,6,"JAX",83.6
2021,6,"IND",81.8
2021,6,"NYG",75.5
2021,6,"DET",76.3
2021,6,"BAL",78.8
2021,6,"CAR",76.1
2021,6,"WAS",72.1
2021,6,"CHI",74.5
2021,6,"CLE",76.8
2021,6,"NE",79.1
2021,6,"DEN",85.1
2021,6,"PIT",83.5
2021,6,"TEN",82.6
2021,7,"CLE",62.4
2021,7,"NE",79.9
2021,7,"MIA",83.1
2021,7,"TEN",78.4
2021,7,"GB",83.1
2021,7,"NYG",72.1
2021,7,"BAL",72.3
2021,7,"LV",83.8
2021,7,"LA",92.6
2021,7,"ARI",80.4
2021,7,"TB",81.3
2021,7,"SF",73.8
2021,7,"SEA",79
2021,8,"ARI",82.6
2021,8,"CHI",75.8
2021,8,"CLE",83
2021,8,"NYJ",65
2021,8,"HOU",76.7
2021,8,"IND",85.5
2021,8,"DET",78.4
2021,8,"ATL",90.1
2021,8,"BUF",91.3
2021,8,"LAC",85.7
2021,8,"SEA",78.1
2021,8,"NO",87.2
2021,8,"DEN",74.5
2021,8,"MIN",88.3
2021,8,"KC",84.5
2021,9,"IND",86.3
2021,9,"DAL",84.2
2021,9,"BAL",70.4
2021,9,"CAR",78.1
2021,9,"JAX",86.6
2021,9,"CIN",87.4
