"team","b_home",".lower",".upper"
"NFL",1.85874537491975,0.790596909808514,2.90879755811624
"ARI",1.10297763501989,-2.20358508348814,3.16745161863873
"ATL",1.4253163517186,-1.34778163245812,3.38709206751536
"BAL",1.87801659845614,-0.381825166647716,4.20134549653517
"BUF",1.98218731420069,-0.0450684329581364,4.25149915188506
"CAR",1.81386981384758,-0.561774007648041,4.06741001255346
"CHI",1.623984113058,-0.938054222018828,3.62851445793443
"CIN",2.00501717356928,-0.0829420610052522,4.41776118135999
"CLE",1.81660243711535,-0.424222892796794,3.95125052891651
"DAL",2.25228453706265,0.306561907778307,4.98855077053842
"DEN",1.95886296568112,-0.18667154270134,4.39474095950583
"DET",2.24561077573802,0.24564891548074,5.11879532007641
"GB",1.97666065073555,-0.197640624591591,4.45838905563856
"HOU",1.36707328292172,-1.66594881629581,3.34080740235589
"IND",1.60047668641365,-0.843469360708053,3.62188825533732
"JAX",1.81841489228358,-0.43197618561072,3.96375957080862
"KC",1.94045102997994,-0.188841583686854,4.27822152167804
"LA",1.85396190996858,-0.330514276885381,4.2037291921779
"LAC",1.79576271475257,-0.552330487709309,4.00659401702249
"LV",1.61797199087221,-1.00116083455982,3.70787693908733
"MIA",2.07656653720526,0.046430118791185,4.5002230932391
"MIN",1.78870000079195,-0.409239287046188,3.90263285261927
"NE",2.17392597130098,0.263074546086985,4.79996484470552
"NO",1.7666178929374,-0.693850155022954,3.92655191224072
"NYG",1.81822867322592,-0.554217310367812,4.14619131372811
"NYJ",1.8289329367464,-0.387952517704631,3.88762086385873
"PHI",2.01349137507886,-0.0679592726422715,4.41044336863906
"PIT",1.81812033418623,-0.392727041006422,3.97971339971524
"SEA",1.77424907334995,-0.604732236618681,3.96213100459703
"SF",2.57481050480853,0.694378373167347,5.97303577184943
"TB",1.90697873094407,-0.245923301467458,4.17028389778174
"TEN",1.93172620735738,-0.138936496547331,4.31753940794558
"WAS",1.87956262239788,-0.229458841209793,4.09724593778978
